You are a disciplined value-oriented equity analyst. You rank
companies strictly by the fundamentals provided. You do not use
outside knowledge, brand reputation, narrative, momentum, or
sentiment. You prefer companies that are cheap relative to their
cash flows and earnings, growing, profitable, financially sound,
and not over-leveraged. You adjust valuation expectations by sector.

Below are ~500 S&P 500 companies with fundamentals organized into
four layers. Each layer measures a different dimension and has known
limitations — use them in combination, not in isolation.

**Layer 1 — Valuation** (is it cheap?)
- pe_trailing: price / trailing 12-month earnings. Lower is cheaper.
  Limitation: distorted by one-time charges; undefined for negative earnings.
- pe_forward: price / consensus forward earnings. Lower is cheaper.
  Limitation: depends on analyst estimates, which embed their own biases.
- ps_ratio: price / trailing 12-month sales. Lower is cheaper.
  Limitation: ignores profitability entirely.
- pb_ratio: price / book value. Lower is cheaper.
  Limitation: meaningless for asset-light businesses (software, services).
- ev_ebitda: enterprise value / EBITDA. Lower is cheaper.
  Limitation: better than P/E for leveraged companies but ignores capex.
- peg_ratio: P/E divided by expected growth rate. Lower is better.
  Limitation: conflates two uncertain numbers.
- fcf_yield: free cash flow / market cap. Higher is better.
  Limitation: purest valuation metric but FCF is lumpy quarter-to-quarter.

**Layer 2 — Growth** (is the business growing?)
- revenue_growth: year-over-year revenue growth (trailing). Higher is better.
  Limitation: past growth does not guarantee future growth; distorted by acquisitions.
- earnings_growth: year-over-year earnings growth (trailing). Higher is better.
  Limitation: more volatile than revenue; heavily accounting-dependent.

**Layer 3 — Quality & Financial Health** (is it a good business?)
- operating_margin: operating income / revenue. Higher is better.
  Limitation: sector-dependent norms (software ~30%, retail ~5%).
- profit_margin: net income / revenue. Higher is better.
  Limitation: after-tax; affected by jurisdiction and one-time items.
- gross_margin: gross profit / revenue. Higher is better.
  Limitation: measures pricing power and cost structure.
- roe: return on equity. Higher is better.
  Limitation: inflated by leverage; meaningless if equity is negative.
- roa: return on assets. Higher is better.
  Limitation: better than ROE for comparing across capital structures.
- debt_to_equity: total debt / shareholder equity. Lower is better.
  Limitation: sector norms vary wildly (banks vs. tech).
- current_ratio: current assets / current liabilities. Higher is better.
  Limitation: less relevant for companies with revolving credit lines.

**Layer 4 — Shareholder Returns** (what do you get paid to hold it?)
- dividend_yield: annual dividend / price. Higher is better for income.
  Limitation: does not capture buybacks; unusually high yield can signal distress.

**Missing values** (NaN) mean the metric is unavailable for that company.
Do not penalize a company for missing data — simply weight the metrics
that are available.

TASK: Identify the 20 most attractive companies by fundamentals alone.
Synthesize across all four layers — no single metric should dominate.
Consider sector context when interpreting ratios (e.g., a 15x P/E is
expensive for a utility but cheap for a growth company).

Use ONLY the data provided. Do not use any knowledge about these
companies beyond what appears in the table.

## S&P 500 Fundamentals

| ticker | sector | pe_trailing | pe_forward | ps_ratio | pb_ratio | ev_ebitda | peg_ratio | fcf_yield | revenue_growth | earnings_growth | operating_margin | profit_margin | gross_margin | roe | roa | debt_to_equity | current_ratio | dividend_yield |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Company_125 | Financial Services | 38.99 | 11.64 | 3.294 | 2.868 | nan | 0.4691 | nan | 0.763 | -0.022 | 0.3303 | 0.0924 | 0.5696 | 0.0856 | 0.016 | 0.6861 | 0.847 | 0.81 |
| Company_294 | Financial Services | 16.46 | 9.493 | 2.663 | 1.048 | nan | 0.844 | nan | 0.044 | -0.108 | 0.2566 | 0.1889 | 0 | 0.0683 | 0.0058 | nan | nan | 2.08 |
| Company_327 | Industrials | 47.59 | 8.064 | 0.6583 | 2.429 | 12.34 | 0.1995 | -0.037 | 0.074 | 0.508 | 0.0509 | 0.0157 | 0.2204 | 0.0481 | 0.0095 | 0.7494 | 0.517 | 1.91 |
| Company_128 | Basic Materials | 36.35 | 27.3 | 4.641 | 11.27 | 21.11 | 2.44 | 0.022 | 0.048 | 0.202 | 0.1905 | 0.1291 | 0.4451 | 0.2252 | 0.0784 | 0.9177 | 1.076 | 1.04 |
| Company_251 | Technology | 250.6 | 34.77 | 7.689 | 5.666 | 42.56 | nan | 0.0027 | 0.175 | 0.73 | 0.1178 | 0.0466 | 0.3638 | 0.0324 | 0.029 | 0.399 | 2.252 | nan |
| Company_426 | Industrials | 19.96 | 17.09 | 3.069 | 13.6 | 15.21 | 1.306 | 0.02 | -0.112 | -0.179 | 0.1975 | 0.1551 | 0.3339 | 0.7583 | 0.1692 | 1.522 | 1.597 | 1.14 |
| Company_458 | Industrials | 41.67 | 26.58 | 4.791 | 10.95 | 23.88 | 1.998 | 0.025 | 0.119 | 0.671 | 0.1753 | 0.1156 | 0.4849 | 0.2374 | 0.0871 | 0.9929 | 1.156 | 1.51 |
| Company_311 | Basic Materials | 48.83 | 21.13 | 3.303 | 2.379 | 14.79 | 1.239 | 0.051 | -0.017 | nan | 0.056 | 0.0629 | 0.4729 | 0.0497 | 0.0388 | 0.1228 | 1.43 | 0.84 |
| Company_337 | Financial Services | 15.38 | 21.92 | 2.772 | 0.001 | -2.125 | nan | 0.0357 | -0.007 | -0.025 | 0.3296 | 0.1803 | 0.2615 | 0.0981 | 0.0511 | 0.1881 | 7.067 | nan |
| Company_011 | Healthcare | 14.97 | 11.09 | 3.713 | 3.684 | 10.81 | 0.3471 | 0.0319 | 0.278 | 0.436 | 0.2557 | 0.2503 | 0.5288 | 0.2987 | 0.1357 | 1.063 | 3.316 | nan |
| Company_424 | Consumer Defensive | 33.11 | 15.21 | 0.4432 | 1.559 | 17.66 | 0.9518 | 0.0604 | -0.137 | -0.197 | 0.0182 | 0.0134 | 0.0627 | 0.0472 | 0.0171 | 0.4238 | 1.365 | 2.82 |
| Company_040 | Real Estate | 22.82 | 33.56 | 7.246 | 2.982 | 17.86 | nan | 0.0503 | 0.075 | 0.987 | 0.3446 | 0.3209 | 0.6792 | 0.1224 | 0.0327 | 1.436 | 0.371 | 4.2 |
| Company_142 | Communication Services | 24.45 | 15.97 | 7.231 | 6.69 | 14.3 | 0.9391 | 0.0161 | 0.238 | 0.107 | 0.4131 | 0.3008 | 0.82 | 0.3024 | 0.1621 | 0.3916 | 2.599 | 0.37 |
| Company_025 | Technology | 15.1 | 10.79 | 0.7084 | 6.058 | 10.82 | nan | 0.0579 | 0.063 | 0.088 | 0.0731 | 0.0476 | 0.2173 | 0.4302 | 0.0681 | 2.369 | 1.176 | 2.07 |
| Company_007 | Industrials | 18.69 | 17.06 | 1.411 | 6.263 | 14.09 | nan | 0.0272 | -0.005 | -0.129 | 0.0532 | 0.0768 | 0.2973 | 0.3306 | 0.1037 | 1.295 | 2.238 | 2.46 |
| Company_266 | Consumer Cyclical | 23.69 | 19.33 | 2.694 | 7.302 | 15.85 | 1.572 | 0.0271 | 0.122 | 0.249 | 0.2009 | 0.1173 | 0.6965 | 0.3385 | 0.0957 | 0.9897 | 2.099 | 1.05 |
| Company_284 | Technology | 28.47 | 12.63 | 1.502 | 1.621 | 18.14 | 0.6792 | -0.0285 | 0.036 | -0.939 | 0.0797 | 0.054 | 0.4306 | 0.0601 | 0.0288 | 0.4044 | 2.201 | nan |
| Company_099 | Real Estate | 32.17 | 25.06 | 7.641 | 22.18 | 18.99 | 1.921 | 0.0554 | 0.075 | -0.332 | 0.4494 | 0.2376 | 0.7418 | 0.2628 | 0.049 | 4.342 | 0.397 | 3.97 |
| Company_223 | Financial Services | 16.24 | 13.41 | 3.745 | 2.576 | nan | 1.865 | nan | 0.11 | 0.207 | 0.3862 | 0.2399 | 0.8706 | 0.1561 | 0.0129 | 4.558 | 2.053 | 2.41 |
| Company_034 | Industrials | 19.05 | 17.05 | 3.691 | 3.197 | 13.38 | 2.027 | 0.0336 | 0.031 | 0.029 | 0.254 | 0.1972 | 0.5174 | 0.1833 | 0.1003 | 0.2171 | 4.793 | 2.67 |
| Company_433 | Real Estate | 54.29 | 34.35 | 2.55 | 1.867 | 32.38 | 1.855 | -0.0083 | -0.098 | -0.091 | -0.1142 | 0.0469 | 0.1484 | 0.0338 | 0.0074 | 0.6069 | 1.293 | 3.44 |
| Company_172 | Consumer Cyclical | 32.49 | 17.17 | 1.491 | -37.96 | 11.41 | 0.677 | 0.039 | 0.015 | -0.593 | 0.1567 | 0.0459 | 0.6818 | nan | 0.0548 | nan | 1.633 | 0.98 |
| Company_213 | Consumer Cyclical | 49.75 | 29.27 | 14.31 | -13.04 | 28.84 | 1.443 | 0.0244 | 0.07 | -0.385 | 0.4633 | 0.2941 | 0.7792 | nan | 0.1004 | nan | 0.665 | 0.2 |
| Company_442 | Industrials | 33.11 | 20 | 3.896 | 10.48 | 20.03 | 2.085 | 0.032 | -0.033 | -0.764 | 0.1541 | 0.1263 | 0.3693 | 0.2614 | 0.0594 | 2.366 | 1.298 | 2.07 |
| Company_162 | Industrials | 32.96 | 17.57 | 2.141 | 3.374 | 17.09 | 1.335 | 0.0217 | -0.06 | -0.978 | 0.0192 | 0.0682 | 0.2605 | 0.1092 | 0.0353 | 0.8772 | 1.199 | 1.72 |
